Type,SKU,Name,"Published","Is featured?","Visibility in catalog","Short description",Description,"Tax status","Tax class","In stock?","Stock","Regular price","Sale price",Categories,Tags,Images,"Position"
simple,WC-HG-001,"Glock 19 Gen 5 9mm",1,0,visible,"Compact 9mm pistol, perfect for concealed carry and home defense.","The Glock 19 Gen 5 is one of the most popular handguns in America. Features improved grip texture, ambidextrous slide stop lever, flared mag-well, and nDLC finish. 15+1 capacity.","taxable","",1,"","549.99","",Handguns,"9mm, Glock, concealed carry","",0
simple,WC-HG-002,"Smith & Wesson M&P Shield Plus 9mm",1,0,visible,"Ultra-slim 9mm carry pistol with 13+1 capacity.","The M&P Shield Plus offers a slim profile with increased capacity. Features an 18-degree grip angle, flat face trigger, and tactile/audible trigger reset. Perfect for everyday carry.","taxable","",1,"","479.99","",Handguns,"9mm, Smith & Wesson, concealed carry","",0
simple,WC-HG-003,"Sig Sauer P365 XL 9mm",1,1,visible,"Micro-compact 9mm with 12+1 capacity and optics-ready slide.","The P365 XL gives you a longer grip and sight radius in a package that's still easy to conceal. Optics-ready slide, flat trigger, and XRAY3 day/night sights included.","taxable","",1,"","599.99","",Handguns,"9mm, Sig Sauer, concealed carry, optics ready","",0
simple,WC-HG-004,"Springfield Hellcat Pro 9mm",1,0,visible,"15+1 capacity in a micro-compact frame.","Springfield Hellcat Pro bridges the gap between micro-compact and compact. 15+1 capacity, adaptive grip texture, U-Dot sight system, and optics-ready slide.","taxable","",1,"","529.99","499.99",Handguns,"9mm, Springfield, concealed carry","",0
simple,WC-RF-001,"Smith & Wesson M&P15 Sport II 5.56",1,0,visible,"Reliable AR-15 platform at a great price.","The M&P15 Sport II is a proven AR-15 with Armornite barrel finish, 6-position collapsible stock, and 30-round Magpul PMAG. Chambered in 5.56 NATO/.223 Rem.","taxable","",1,"","749.99","",Rifles,"5.56, AR-15, Smith & Wesson","",0
simple,WC-RF-002,"Ruger 10/22 Carbine .22 LR",1,0,visible,"The classic .22 LR semi-auto rifle.","America's favorite .22 rifle. The Ruger 10/22 Carbine features a hardwood stock, 18.5-inch barrel, and patented 10-round rotary magazine. Great for plinking, small game, and training.","taxable","",1,"","299.99","279.99",Rifles,".22 LR, Ruger, semi-auto, rimfire","",0
simple,WC-RF-003,"Henry Big Boy .44 Mag",1,1,visible,"Classic lever-action in .44 Magnum.","The Henry Big Boy is a beautifully crafted lever-action rifle with a brass receiver, American walnut stock, and 20-inch octagonal barrel. 10-round tubular magazine. Made in the USA.","taxable","",1,"","949.99","",Rifles,".44 Mag, Henry, lever-action","",0
simple,WC-SG-001,"Mossberg 500 Tactical 12ga",1,0,visible,"Pump-action 12-gauge for home defense.","The Mossberg 500 Tactical features an 18.5-inch barrel, 6-shot capacity, dual extractors, anti-jam elevator, and ambidextrous tang safety. A proven home defense platform.","taxable","",1,"","449.99","",Shotguns,"12 gauge, Mossberg, pump-action, home defense","",0
simple,WC-SG-002,"Remington 870 Express 12ga",1,0,visible,"The legendary pump-action shotgun.","The Remington 870 Express is one of the best-selling shotguns of all time. Features a 28-inch ventilated rib barrel, hardwood stock, and twin action bars for smooth cycling.","taxable","",1,"","399.99","",Shotguns,"12 gauge, Remington, pump-action","",0
simple,WC-AM-001,"Federal American Eagle 9mm 115gr FMJ (50rd)",1,0,visible,"Reliable range ammo — 50 rounds per box.","Federal American Eagle 9mm Luger 115-grain FMJ. Brass case, boxer primed, non-corrosive. Excellent for range training and target shooting. 50 rounds per box.","taxable","",1,"","16.99","",Ammunition,"9mm, FMJ, range ammo, Federal","",0
